UserID,total_interactions,number_helprqs,number_contentviews,first_contentviewdate,last_contentviewdate,first_helprqsdate,last_helprqsdate,number_views_genreAction,number_views_genreComedy,number_views_genreDocumentary,number_views_genreDrama,number_views_genreHorror,number_views_genreRomance,number_views_genreThriller
1,16,9,7,2022-11-16,2023-06-16,2022-08-21,2023-06-01,1,1,1,1,1,0,2
2,5,4,1,2023-09-06,2023-09-06,2023-04-21,2023-08-09,0,1,0,0,0,0,0
3,13,5,8,2022-06-07,2023-04-21,2022-09-05,2023-01-10,2,0,0,2,1,1,2
4,21,10,11,2022-06-26,2023-03-06,2022-04-30,2023-04-05,0,2,0,0,4,4,1
5,17,7,10,2022-09-17,2023-07-28,2022-10-12,2023-03-17,1,1,2,2,0,1,3
6,14,8,6,2023-02-01,2023-09-09,2022-12-01,2023-11-14,0,1,0,2,1,0,2
7,17,7,10,2022-02-26,2022-11-29,2022-01-23,2022-11-12,4,1,0,0,3,1,1
8,17,7,10,2022-02-13,2022-12-09,2022-02-21,2023-01-07,2,0,2,0,2,2,2
9,23,7,16,2022-11-15,2023-10-04,2022-10-23,2023-07-28,2,2,2,2,2,2,4
10,28,14,14,2022-12-08,2023-12-01,2022-12-18,2023-11-18,2,3,2,2,1,3,1
11,16,9,7,2022-09-11,2023-08-26,2022-09-15,2023-07-03,1,0,2,1,0,0,3
12,7,5,2,2022-10-30,2023-04-30,2023-01-09,2023-07-30,0,0,0,1,0,1,0
13,28,15,13,2022-07-10,2023-04-21,2022-06-17,2023-05-27,2,2,2,2,1,2,2
14,16,8,8,2022-12-08,2023-10-19,2023-05-27,2023-10-19,2,1,2,1,1,0,1
15,27,13,14,2022-07-10,2023-04-28,2022-06-08,2023-05-01,2,6,2,1,2,1,0
16,20,10,10,2022-06-28,2023-06-22,2022-07-10,2023-05-24,1,0,1,1,2,2,3
17,15,6,9,2022-06-12,2023-03-22,2022-10-09,2023-05-11,2,0,1,2,0,2,2
18,14,8,6,2022-06-07,2023-01-08,2022-02-09,2023-01-03,1,1,2,0,2,0,0
19,12,5,7,2022-09-11,2023-06-20,2022-10-19,2023-04-25,1,2,0,2,2,0,0
20,18,8,10,2022-06-12,2023-03-07,2022-04-29,2023-02-28,1,1,0,4,0,1,3
21,11,6,5,2023-01-19,2023-08-06,2023-01-04,2023-08-20,1,1,0,1,0,1,1
22,29,12,17,2022-11-20,2023-11-17,2022-12-24,2023-10-29,3,3,2,1,4,1,3
23,17,5,12,2022-03-14,2023-03-02,2022-03-24,2023-02-13,1,5,2,0,2,2,0
24,25,13,12,2022-09-02,2023-06-04,2022-06-21,2023-05-05,1,2,2,2,2,2,1
25,22,14,8,2022-12-07,2023-11-08,2022-11-28,2023-11-20,0,2,1,1,2,1,1
26,16,6,10,2022-06-05,2023-02-07,2022-03-21,2022-12-19,0,3,3,1,1,2,0
27,14,9,5,2022-02-24,2022-11-20,2022-03-09,2023-01-25,1,0,0,1,2,1,0
28,18,8,10,2022-11-05,2023-07-25,2022-10-23,2023-09-12,2,1,3,0,2,0,2
29,13,5,8,2022-03-15,2022-11-15,2022-05-15,2022-10-01,2,0,5,1,0,0,0
30,11,5,6,2022-04-18,2022-12-02,2022-09-06,2023-02-12,0,1,0,0,0,1,4
31,9,5,4,2023-04-10,2023-06-17,2022-12-19,2023-09-01,1,1,0,1,1,0,0
32,24,6,18,2022-10-07,2023-05-31,2022-11-08,2023-08-27,2,4,2,2,2,2,4
33,10,6,4,2022-12-12,2023-08-24,2022-10-17,2023-07-19,0,0,1,2,1,0,0
34,16,9,7,2022-08-05,2022-11-18,2022-05-27,2023-01-16,0,2,0,1,3,1,0
35,22,10,12,2022-08-21,2023-07-16,2022-10-27,2023-05-31,2,1,2,0,1,2,4
36,9,3,6,2022-12-05,2023-11-21,2023-01-25,2023-03-02,1,1,1,1,0,1,1
37,21,11,10,2022-04-03,2023-03-24,2022-04-02,2023-02-03,1,2,3,0,1,2,1
38,6,4,2,2022-11-19,2023-02-19,2023-02-25,2023-08-05,0,0,1,1,0,0,0
39,10,3,7,2022-07-24,2022-12-09,2022-10-17,2023-02-09,1,0,3,1,1,0,1
40,24,10,14,2022-05-18,2023-03-30,2022-05-04,2023-03-29,2,2,3,0,1,3,3
41,28,15,13,2022-05-30,2023-04-22,2022-05-01,2023-04-23,0,4,2,1,1,2,3
42,14,10,4,2022-05-27,2023-03-21,2022-05-06,2023-03-10,0,1,0,1,1,0,1
43,23,13,10,2022-08-15,2023-04-19,2022-08-03,2023-05-04,3,1,0,1,0,2,3
44,12,7,5,2022-11-17,2023-11-09,2023-02-02,2023-09-21,1,0,1,0,2,1,0
45,20,9,11,2022-05-05,2022-12-25,2022-05-14,2023-04-22,0,0,3,2,2,1,3
46,7,5,2,2022-04-18,2022-09-21,2022-05-30,2022-12-26,1,0,0,0,0,0,1
47,19,9,10,2022-09-20,2023-05-02,2022-12-24,2023-07-13,1,0,2,0,2,2,3
48,16,9,7,2022-11-07,2023-09-02,2022-11-18,2023-09-12,2,0,2,1,1,1,0
49,24,7,17,2022-10-25,2023-09-01,2022-10-16,2023-08-05,3,0,3,4,2,4,1
50,6,4,2,2022-07-29,2023-04-09,2022-08-16,2023-05-10,0,0,0,1,1,0,0
51,23,13,10,2023-03-08,2023-12-19,2023-01-17,2023-12-12,2,0,2,2,2,0,2
52,10,5,5,2022-10-24,2023-06-19,2022-08-22,2023-06-28,1,0,0,1,0,1,2
53,11,4,7,2022-09-28,2023-04-21,2022-09-02,2022-12-19,0,0,2,1,1,1,2
54,18,8,10,2022-07-23,2023-04-28,2022-10-08,2023-06-03,1,0,2,2,2,1,2
55,10,4,6,2022-05-27,2023-03-31,2022-07-10,2023-03-24,1,1,0,1,1,1,1
56,25,14,11,2022-04-08,2022-12-22,2022-03-24,2023-01-24,1,2,2,3,2,1,0
57,28,13,15,2022-06-13,2023-03-28,2022-04-26,2023-04-05,1,3,2,1,3,1,4
58,15,7,8,2022-06-05,2023-03-11,2022-06-12,2023-05-07,1,1,3,1,1,1,0
59,21,11,10,2022-08-13,2023-05-30,2022-10-24,2023-05-17,0,1,0,2,3,3,1
60,17,8,9,2022-07-09,2023-05-07,2022-09-03,2023-05-31,2,0,1,1,1,2,2
61,12,4,8,2022-09-03,2023-08-04,2022-08-27,2023-04-28,1,2,0,1,0,2,2
62,12,6,6,2022-04-01,2022-11-27,2022-02-18,2022-09-27,1,1,1,1,0,1,1
63,13,6,7,2022-10-15,2023-06-26,2022-10-08,2023-08-25,0,0,1,2,1,1,2
64,12,7,5,2022-07-13,2023-03-22,2023-01-31,2023-06-15,0,1,0,1,2,1,0
65,29,14,15,2022-01-23,2022-11-28,2022-01-25,2023-01-08,1,2,5,4,1,0,2
66,20,12,8,2022-11-20,2023-08-14,2022-10-26,2023-08-27,0,2,1,0,1,2,2
67,21,14,7,2022-08-28,2023-05-03,2022-08-11,2023-07-26,1,0,1,2,1,1,1
68,16,9,7,2023-02-01,2023-11-16,2023-01-05,2023-08-03,0,0,4,2,0,0,1
69,26,17,9,2023-01-21,2023-11-12,2022-12-31,2023-12-21,3,1,0,0,2,2,1
70,7,3,4,2022-10-18,2023-03-22,2023-06-04,2023-10-02,1,0,3,0,0,0,0
71,20,13,7,2022-10-18,2023-09-18,2022-10-07,2023-09-22,3,1,0,0,1,0,2
72,16,4,12,2022-04-05,2023-02-14,2022-06-27,2022-11-09,4,2,2,1,0,1,2
73,7,3,4,2022-07-01,2023-02-11,2022-06-23,2023-03-08,0,3,0,0,1,0,0
74,5,2,3,2022-11-17,2023-06-15,2022-10-01,2023-08-04,0,2,0,1,0,0,0
75,5,2,3,2023-02-13,2023-10-15,2023-03-16,2023-09-11,1,0,0,0,0,0,2
76,23,11,12,2022-07-09,2023-04-02,2022-07-29,2023-05-28,1,3,0,0,1,1,6
77,26,16,10,2022-01-27,2022-12-10,2022-01-21,2022-12-27,2,0,1,2,1,3,1
78,19,5,14,2022-09-06,2023-05-28,2022-09-09,2023-06-17,1,1,1,2,5,2,2
79,8,3,5,2022-09-18,2023-03-14,2022-06-26,2023-03-14,1,0,1,0,1,0,2
80,20,12,8,2022-09-11,2023-07-20,2022-09-02,2023-07-14,2,1,0,2,0,3,0
81,9,3,6,2022-05-02,2023-03-12,2022-04-14,2022-11-19,0,2,2,0,1,1,0
82,14,9,5,2022-12-01,2023-09-01,2022-09-27,2023-08-12,1,1,1,0,0,0,2
83,13,6,7,2022-12-14,2023-07-03,2022-12-08,2023-08-29,0,2,2,0,2,1,0
84,23,12,11,2022-07-31,2023-06-30,2022-09-03,2023-07-15,1,0,2,5,2,1,0
85,24,8,16,2022-09-16,2023-08-08,2022-09-26,2023-06-24,1,5,1,1,3,2,3
86,22,12,10,2022-04-30,2023-02-03,2022-02-23,2023-01-27,1,2,4,1,1,0,1
87,14,5,9,2022-12-10,2023-10-14,2023-01-09,2023-10-02,0,2,1,2,1,1,2
88,27,13,14,2022-06-11,2023-05-21,2022-06-10,2023-03-08,1,3,0,1,1,5,3
89,19,4,15,2022-04-03,2023-03-08,2022-07-15,2022-12-16,2,1,0,2,4,4,2
90,23,15,8,2022-05-08,2023-02-24,2022-04-11,2023-04-03,2,2,0,2,1,0,1
91,15,7,8,2022-03-09,2022-12-08,2022-03-27,2022-12-07,2,2,2,0,0,0,2
92,8,5,3,2022-04-02,2022-11-17,2022-03-09,2023-01-19,1,0,0,1,0,1,0
93,16,8,8,2022-08-12,2023-05-21,2022-06-01,2023-04-13,1,2,0,1,0,3,1
94,28,11,17,2022-08-27,2023-05-23,2022-05-28,2023-05-15,5,0,3,0,2,2,5
95,25,10,15,2022-03-16,2023-01-30,2022-04-16,2022-09-23,2,2,3,2,4,2,0
96,26,16,10,2022-03-05,2022-12-26,2022-03-08,2023-01-13,1,0,1,1,5,1,1
97,24,14,10,2022-06-09,2023-04-03,2022-04-29,2023-02-25,2,0,2,1,2,0,3
98,21,11,10,2022-07-17,2023-06-07,2022-09-23,2023-06-19,1,1,2,1,3,2,0
99,27,14,13,2022-03-14,2023-02-10,2022-03-21,2023-01-22,2,0,3,3,0,4,1
100,7,3,4,2022-12-28,2023-06-18,2023-01-10,2023-04-17,0,0,1,1,1,0,1
101,24,11,13,2022-08-23,2023-08-09,2022-08-12,2023-07-13,0,1,2,2,3,1,4
102,5,3,2,2022-11-25,2022-12-14,2022-05-02,2023-03-10,0,1,0,0,1,0,0
103,16,5,11,2022-07-23,2023-04-21,2022-07-07,2023-04-19,3,1,0,1,1,2,3
104,12,8,4,2022-07-19,2023-05-16,2022-07-09,2023-03-11,0,0,3,0,0,0,1
105,18,10,8,2022-11-23,2023-05-25,2022-10-14,2023-07-28,1,2,1,1,1,1,1
106,16,7,9,2022-10-17,2023-06-07,2022-11-05,2023-07-25,1,2,3,0,2,0,1
107,22,13,9,2022-08-24,2023-08-17,2022-08-27,2023-06-25,3,1,2,1,2,0,0
108,27,12,15,2022-12-02,2023-10-27,2022-12-13,2023-11-06,0,1,0,4,2,5,3
109,18,10,8,2022-06-07,2023-05-12,2022-07-08,2023-05-06,2,3,2,1,0,0,0
110,7,3,4,2022-12-29,2023-06-02,2022-10-10,2023-04-29,2,0,1,0,1,0,0
111,14,8,6,2022-06-17,2022-09-29,2022-03-22,2023-03-01,0,1,0,0,0,2,3
112,28,14,14,2022-01-11,2022-12-11,2022-02-02,2022-11-27,2,1,3,3,1,2,2
113,26,11,15,2022-03-22,2023-03-13,2022-05-16,2023-01-06,3,2,3,0,5,1,1
114,27,14,13,2022-10-13,2023-08-04,2022-09-14,2023-08-31,2,1,2,0,4,3,1
115,8,5,3,2022-11-20,2023-02-22,2022-11-02,2023-06-13,1,0,1,0,0,0,1
116,25,19,6,2022-04-11,2022-11-23,2022-01-25,2022-12-20,0,0,1,1,1,1,2
117,6,6,0,,,2022-07-22,2023-05-04,0,0,0,0,0,0,0
118,14,9,5,2022-07-01,2023-05-07,2022-06-01,2023-05-16,1,2,0,0,0,0,2
119,20,12,8,2022-06-28,2023-05-22,2022-07-08,2023-06-08,1,1,3,0,2,1,0
120,22,11,11,2022-11-07,2023-06-18,2022-07-03,2023-05-27,3,0,0,2,3,2,1
121,10,6,4,2022-10-25,2023-05-16,2022-12-02,2023-09-17,0,0,1,1,2,0,0
122,25,12,13,2022-06-09,2023-02-24,2022-05-30,2023-05-01,1,0,7,1,1,1,2
123,14,6,8,2022-10-09,2023-04-01,2022-07-23,2023-05-25,3,1,0,0,1,2,1
124,26,14,12,2022-02-01,2022-12-18,2022-01-11,2022-12-23,2,0,1,3,5,1,0
125,16,8,8,2022-01-29,2022-12-28,2022-03-08,2022-11-16,1,1,1,1,2,1,1
126,18,12,6,2022-07-22,2023-05-25,2022-07-01,2023-06-05,0,2,1,0,2,0,1
127,26,12,14,2022-12-29,2023-11-19,2022-12-15,2023-08-26,1,2,2,3,2,3,1
128,14,6,8,2022-05-23,2023-04-28,2022-06-19,2023-04-23,3,2,1,0,1,0,1
129,17,10,7,2023-04-22,2023-12-10,2022-12-31,2023-11-01,1,0,3,0,1,1,1
130,18,10,8,2023-02-18,2023-10-01,2022-11-22,2023-10-20,0,1,5,1,0,0,1
131,27,14,13,2023-01-04,2023-12-05,2022-12-23,2023-11-20,2,2,2,2,2,3,0
132,17,7,10,2022-06-21,2023-05-06,2022-06-14,2023-05-02,1,2,0,2,3,1,1
133,29,16,13,2022-12-26,2023-11-17,2022-12-02,2023-11-18,3,4,1,1,0,1,3
134,13,8,5,2022-08-13,2023-06-08,2022-08-19,2023-04-22,0,0,1,3,1,0,0
135,12,8,4,2022-12-26,2023-08-21,2022-12-03,2023-08-19,1,0,1,0,1,1,0
136,11,4,7,2022-08-25,2023-04-17,2022-08-18,2023-02-11,0,0,1,0,2,1,3
137,15,7,8,2022-10-25,2023-09-08,2022-10-25,2023-10-11,0,2,2,0,1,2,1
138,6,4,2,2022-04-15,2022-08-09,2022-07-03,2023-02-10,0,1,0,0,0,1,0
139,6,3,3,2023-02-21,2023-06-19,2022-09-29,2023-07-20,1,0,0,0,0,2,0
140,23,11,12,2022-11-29,2023-08-14,2022-10-04,2023-08-28,4,0,2,1,2,0,3
141,27,13,14,2023-01-20,2023-12-16,2023-02-01,2023-12-25,0,2,1,3,1,3,4
142,10,4,6,2022-07-16,2023-05-21,2022-12-12,2023-06-07,0,1,2,2,0,0,1
143,10,4,6,2022-07-17,2023-05-08,2022-08-24,2023-02-21,1,1,2,0,2,0,0
144,20,9,11,2022-05-26,2023-03-29,2022-04-18,2023-03-28,2,3,0,0,0,4,2
145,21,13,8,2023-01-15,2023-06-04,2022-08-13,2023-05-07,1,0,1,1,2,2,1
146,20,11,9,2022-12-27,2023-10-09,2022-12-13,2023-12-07,1,2,2,1,2,0,1
147,5,2,3,2022-02-23,2022-07-29,2022-03-14,2022-04-25,0,1,0,1,1,0,0
148,27,11,16,2022-02-08,2022-11-28,2022-02-10,2022-11-12,0,3,2,2,4,3,2
149,5,2,3,2022-05-30,2022-09-02,2022-08-30,2022-11-24,1,0,0,1,0,1,0
150,28,8,20,2022-07-05,2023-06-21,2022-08-02,2023-05-05,0,7,4,3,2,0,4
151,7,5,2,2023-04-03,2023-05-11,2022-06-14,2023-03-18,0,0,0,1,0,1,0
152,26,16,10,2022-10-31,2023-06-07,2022-08-31,2023-08-12,0,2,3,0,1,3,1
153,7,4,3,2022-09-20,2023-05-06,2022-11-15,2023-05-30,0,1,1,0,0,1,0
154,16,5,11,2022-06-09,2023-03-29,2022-05-22,2023-03-29,1,1,0,1,3,3,2
155,27,16,11,2022-03-08,2023-02-25,2022-03-06,2023-02-15,2,3,2,2,0,2,0
156,11,8,3,2022-10-19,2023-05-05,2022-06-16,2023-03-17,0,1,0,1,0,1,0
157,25,16,9,2022-11-30,2023-10-21,2022-12-12,2023-10-30,2,1,2,2,1,1,0
158,27,11,16,2022-12-31,2023-10-31,2022-12-31,2023-10-04,1,6,2,1,2,2,2
159,25,10,15,2022-01-26,2022-12-21,2022-01-11,2022-12-07,0,4,2,2,3,1,3
160,18,8,10,2022-12-17,2023-11-02,2023-02-22,2023-11-14,0,2,0,2,3,2,1
161,8,6,2,2023-02-27,2023-06-22,2022-09-15,2023-06-25,0,0,0,0,2,0,0
162,28,13,15,2022-08-15,2023-05-29,2022-08-05,2023-06-25,2,2,3,0,5,3,0
163,8,3,5,2022-12-19,2023-09-28,2022-12-11,2023-10-29,0,2,0,1,0,0,2
164,14,7,7,2022-09-01,2023-02-28,2022-05-06,2023-03-26,1,1,0,2,0,1,2
165,8,5,3,2022-11-11,2023-03-22,2022-05-18,2023-03-21,0,0,2,0,1,0,0
166,25,4,21,2022-03-16,2023-02-14,2022-04-22,2023-01-17,3,3,2,5,2,4,2
167,14,4,10,2022-03-31,2023-01-22,2022-05-19,2023-02-12,4,1,1,1,1,1,1
168,26,17,9,2022-06-25,2023-01-07,2022-07-18,2023-06-15,1,0,2,1,4,1,0
169,16,9,7,2022-06-15,2023-05-06,2022-06-11,2023-05-31,1,1,1,1,1,1,1
170,8,5,3,2022-11-06,2023-01-26,2022-06-25,2023-06-13,1,1,0,1,0,0,0
171,20,5,15,2022-12-04,2023-10-31,2023-01-07,2023-10-14,4,2,4,0,1,2,2
172,28,16,12,2022-12-13,2023-10-22,2022-11-03,2023-10-26,0,3,3,1,2,2,1
173,6,2,4,2022-08-28,2023-05-13,2023-03-25,2023-05-13,1,0,0,1,2,0,0
174,17,5,12,2022-03-31,2022-11-01,2022-03-23,2022-10-30,2,1,3,1,3,2,0
175,5,2,3,2022-10-23,2022-11-11,2022-09-12,2022-09-20,0,0,0,1,2,0,0
176,22,12,10,2022-09-06,2023-06-04,2022-08-16,2023-07-02,2,3,0,1,1,1,2
177,18,9,9,2022-12-01,2023-08-01,2022-09-29,2023-08-15,0,1,0,4,0,4,0
178,29,14,15,2022-09-27,2023-07-15,2022-09-20,2023-06-26,4,4,1,3,1,1,1
179,8,3,5,2022-06-28,2023-04-07,2022-08-26,2023-02-10,1,1,1,1,1,0,0
180,6,0,6,2022-09-09,2023-06-25,,,1,2,0,1,1,0,1
181,13,8,5,2022-07-21,2023-05-18,2022-09-20,2023-04-16,0,0,2,1,0,1,1
182,8,4,4,2022-02-27,2022-11-15,2022-02-09,2022-12-21,0,1,0,1,1,1,0
183,23,10,13,2022-02-17,2023-02-05,2022-02-24,2023-02-09,1,2,1,4,1,1,3
184,8,5,3,2022-11-30,2023-05-17,2022-11-10,2023-08-17,2,1,0,0,0,0,0
185,20,8,12,2022-11-29,2023-05-15,2022-12-17,2023-10-19,1,1,3,0,1,5,1
186,22,11,11,2022-01-24,2022-11-21,2022-01-16,2022-12-12,1,2,2,0,3,2,1
187,13,6,7,2022-06-07,2023-04-18,2022-06-03,2022-10-02,1,1,0,2,2,0,1
188,25,15,10,2022-03-30,2022-12-19,2022-02-19,2022-10-09,0,1,0,3,3,2,1
189,19,7,12,2022-03-06,2023-02-13,2022-04-14,2023-01-11,2,2,2,1,1,3,1
190,18,10,8,2022-10-14,2023-08-11,2023-02-05,2023-09-01,3,1,1,0,0,1,2
191,8,2,6,2022-06-20,2023-02-14,2023-01-09,2023-01-26,1,1,1,1,0,1,1
192,21,9,12,2022-01-13,2022-09-29,2022-02-01,2022-12-26,4,1,1,2,1,1,2
193,26,18,8,2022-12-24,2023-11-19,2022-12-10,2023-10-02,0,1,2,1,0,2,2
194,18,9,9,2022-08-28,2023-07-18,2022-09-14,2023-08-05,3,0,0,3,1,0,2
195,20,13,7,2022-10-10,2023-06-12,2022-10-14,2023-08-11,1,0,0,2,1,2,1
196,28,17,11,2023-01-07,2023-12-13,2023-01-21,2023-12-22,3,0,2,1,3,1,1
197,23,13,10,2022-06-13,2023-05-07,2022-06-25,2023-05-04,3,2,0,1,2,0,2
198,7,5,2,2022-06-14,2022-09-22,2022-04-17,2022-12-10,0,0,0,0,1,1,0
199,10,5,5,2022-05-25,2023-04-10,2022-06-14,2023-04-10,1,1,1,0,0,1,1
200,6,4,2,2023-08-04,2023-09-23,2023-03-16,2023-07-21,0,1,1,0,0,0,0
